location,date,vaccine,total_vaccinations
Belgium,2021-01-08,Johnson&Johnson,0
Belgium,2021-01-15,Johnson&Johnson,0
Belgium,2021-01-22,Johnson&Johnson,0
Belgium,2021-01-29,Johnson&Johnson,0
Belgium,2021-02-05,Johnson&Johnson,0
Belgium,2021-02-12,Johnson&Johnson,0
Belgium,2021-02-19,Johnson&Johnson,0
Belgium,2021-02-26,Johnson&Johnson,0
Belgium,2021-03-05,Johnson&Johnson,0
Belgium,2021-03-12,Johnson&Johnson,0
Belgium,2021-03-19,Johnson&Johnson,0
Belgium,2021-03-26,Johnson&Johnson,0
Belgium,2021-04-02,Johnson&Johnson,0
Belgium,2021-04-09,Johnson&Johnson,0
Belgium,2021-04-16,Johnson&Johnson,0
Belgium,2021-04-23,Johnson&Johnson,0
Belgium,2021-04-30,Johnson&Johnson,3163
Belgium,2021-05-07,Johnson&Johnson,24409
Belgium,2021-05-14,Johnson&Johnson,30421
Belgium,2021-05-21,Johnson&Johnson,51383
Belgium,2021-05-28,Johnson&Johnson,75493
Belgium,2021-06-04,Johnson&Johnson,99592
Belgium,2021-06-11,Johnson&Johnson,146204
Belgium,2021-06-18,Johnson&Johnson,215984
Belgium,2021-06-25,Johnson&Johnson,248972
Belgium,2021-07-02,Johnson&Johnson,274899
Belgium,2021-07-09,Johnson&Johnson,291089
Belgium,2021-07-16,Johnson&Johnson,310396
Belgium,2021-07-23,Johnson&Johnson,321586
Belgium,2021-07-30,Johnson&Johnson,331336
Belgium,2021-08-06,Johnson&Johnson,340987
Belgium,2021-08-13,Johnson&Johnson,348597
Belgium,2021-08-20,Johnson&Johnson,355020
Belgium,2021-08-27,Johnson&Johnson,361002
Belgium,2021-09-03,Johnson&Johnson,367197
Belgium,2021-09-10,Johnson&Johnson,372318
Belgium,2021-09-17,Johnson&Johnson,379105
Belgium,2021-09-24,Johnson&Johnson,386207
Belgium,2021-10-01,Johnson&Johnson,391414
Belgium,2021-10-08,Johnson&Johnson,395527
Belgium,2021-10-15,Johnson&Johnson,399707
Belgium,2021-10-22,Johnson&Johnson,403597
Belgium,2021-10-29,Johnson&Johnson,408100
Belgium,2021-11-05,Johnson&Johnson,412471
Belgium,2021-11-12,Johnson&Johnson,416266
Belgium,2021-11-19,Johnson&Johnson,418619
Belgium,2021-11-26,Johnson&Johnson,420610
Belgium,2021-12-03,Johnson&Johnson,421809
Belgium,2021-12-10,Johnson&Johnson,422667
Belgium,2021-12-17,Johnson&Johnson,423662
Belgium,2021-12-24,Johnson&Johnson,424077
Belgium,2021-12-31,Johnson&Johnson,424349
Belgium,2022-01-07,Johnson&Johnson,424677
Belgium,2022-01-14,Johnson&Johnson,425036
Belgium,2022-01-21,Johnson&Johnson,425340
Belgium,2022-01-28,Johnson&Johnson,425582
Belgium,2022-02-04,Johnson&Johnson,425718
Belgium,2022-02-11,Johnson&Johnson,425826
Belgium,2022-02-18,Johnson&Johnson,425893
Belgium,2022-02-25,Johnson&Johnson,425992
Belgium,2022-03-04,Johnson&Johnson,426088
Belgium,2022-03-11,Johnson&Johnson,426124
Belgium,2022-03-18,Johnson&Johnson,426206
Belgium,2022-03-25,Johnson&Johnson,426240
Belgium,2022-04-01,Johnson&Johnson,426249
Belgium,2022-04-08,Johnson&Johnson,426260
Belgium,2022-04-15,Johnson&Johnson,426299
Belgium,2022-04-22,Johnson&Johnson,426324
Belgium,2022-04-29,Johnson&Johnson,426324
Belgium,2021-01-08,Moderna,0
Belgium,2021-01-15,Moderna,64
Belgium,2021-01-22,Moderna,4578
Belgium,2021-01-29,Moderna,6312
Belgium,2021-02-05,Moderna,16191
Belgium,2021-02-12,Moderna,25889
Belgium,2021-02-19,Moderna,30760
Belgium,2021-02-26,Moderna,33314
Belgium,2021-03-05,Moderna,52328
Belgium,2021-03-12,Moderna,68421
Belgium,2021-03-19,Moderna,91061
Belgium,2021-03-26,Moderna,101572
Belgium,2021-04-02,Moderna,129658
Belgium,2021-04-09,Moderna,177184
Belgium,2021-04-16,Moderna,212136
Belgium,2021-04-23,Moderna,263890
Belgium,2021-04-30,Moderna,291275
Belgium,2021-05-07,Moderna,349506
Belgium,2021-05-14,Moderna,404472
Belgium,2021-05-21,Moderna,506851
Belgium,2021-05-28,Moderna,581650
